"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"616","616","Plaza San Miguel EO","-12.0779563","-77.0829061","","","0","","America/Lima","0"
"617","617","Mercado Arenera - EO","-12.0075247","-76.8261008","","","0","","America/Lima","0"
"618","618","Precio Uno - EO","-12.0060938","-76.8298258","","","0","","America/Lima","0"
"619","619","Establo - EO","-12.0028088","-76.8320888","","","0","","America/Lima","0"
"810142","810142","AV. SOL B","-12.17852","-76.99644","","","0","","America/Lima","0"
"810143","810143","ESCUELA PNP B","-12.17453","-76.99316","","","0","","America/Lima","0"
"810144","810144","CEMENTERIO PNP B","-12.172473","-76.983143","","","0","","America/Lima","0"
"810145","810145","PTE ALIPIO B","-12.1693061","-76.979658","","","0","","America/Lima","0"
"810146","810146","PEDRO MIOTA B","-12.1672288","-76.9784869","","","0","","America/Lima","0"
"810147","810147","AMAUTA B","-12.1618711","-76.9794299","","","0","","America/Lima","0"
"810148","810148","MALL SUR B","-12.156983","-76.9812388","","","0","","America/Lima","0"
"810149","810149","PROCERES B","-12.1525269","-76.983723","","","0","","America/Lima","0"
"810141","810141","MERCADO SANTA ROSA B","-12.18352","-77.0005","","","0","","America/Lima","0"
"620","620","Huarochiri EO 209","-12.0564158","-76.9442238","","","0","","America/Lima","0"
"621","621","Huarochiri OE 209","-12.0609008","-76.9425719","","","0","","America/Lima","0"
"622","622","Sep Industrial OE 209","-12.0571697","-76.94404","","","0","","America/Lima","0"
"623","623","Mayorazgo 209 OE","-12.0538847","-76.9412027","","","0","","America/Lima","0"
"624","624","Josfel 209 OE","-12.0434358","-76.9364958","","","0","","America/Lima","0"
"810139","810139","AV. SANTA ANITA A","-12.1878411","-77.0076969","","","0","","America/Lima","0"
"625","625","Mayorazgo 209 EO","-12.0524227","-76.9411177","","","0","","America/Lima","0"
"626","626","Josfel 209 EO","-12.04353","-76.9373508","","","0","","America/Lima","0"
"627","627","Tagore EO 209","-12.0294255","-76.9246936","","","0","","America/Lima","0"
"628","628","Soldadura EO 209","-12.0364086","-76.9305127","","","0","","America/Lima","0"
"629","629","Pista Nueva EO 209","-12.0373213","-76.9312691","","","0","","America/Lima","0"
"810197","810197","7 MARISCAL B","-11.9440288","-76.9823061","","","0","","America/Lima","0"
"810198","810198","8 MOTUPE B","-11.941195","-76.9804319","","","0","","America/Lima","0"
"810199","810199","4 MOTUPE B","-11.9390011","-76.9768788","","","0","","America/Lima","0"
"810190","810190","ESTACION SANTA ROSA B..","-11.96912","-76.9941","","","0","","America/Lima","0"
"810191","810191","14 WIESE B","-11.9659538","-76.9917711","","","0","","America/Lima","0"
"500402","500402","San Hilarion","-11.9935655","-77.0105294","","","0","","America/Lima","0"
"810193","810193","BAYOVAR B","-11.9598611","-76.9874561","","","0","","America/Lima","0"
"810194","810194","SEOANE B","-11.9556238","-76.9856338","","","0","","America/Lima","0"
"810195","810195","ELEKTRA B","-11.9509911","-76.987215","","","0","","America/Lima","0"
"810196","810196","5 MARISCAL B","-11.948135","-76.9851311","","","0","","America/Lima","0"
"630","630","Backus OE 209","-12.0498458","-76.9389358","","","0","","America/Lima","0"
"631","631","Puruchuco OE 209","-12.0393569","-76.9328127","","","0","","America/Lima","0"
"632","632","Ceres OE 209","-12.0328388","-76.9271719","","","0","","America/Lima","0"
"633","633","Pista Nueva OE 209","-12.0374677","-76.9312147","","","0","","America/Lima","0"
"634","634","Soldadura OE209","-12.0364858","-76.9303797","","","0","","America/Lima","0"
"635","635","Los angeles OE209","-12.0345458","-76.9286169","","","0","","America/Lima","0"
"636","636","Constructores EO209","-12.06043","-76.9425488","","","0","","America/Lima","0"
